2019-12-08 11:29:38,628 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - AppSpaceComponents - RetrofitRestEngine: 3.4.0
2019-12-08 11:29:38,628 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - AppSpaceComponents - UI Controls: 3.4.0
2019-12-08 11:29:38,629 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - UIBuilder - UIBuilderService: 1.0.4
2019-12-08 11:29:38,629 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - UIBuilder - UIBuilder: 1.0.4
2019-12-08 11:29:38,629 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - UIBuilder - LegacyMSDDImporter: 1.0.1
2019-12-08 11:29:38,630 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - UIBuilder - LegacyMSDDCreator: 1.0.2
2019-12-08 11:29:38,630 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - UIBuilder - Control Library: 1.0.2
2019-12-08 11:29:38,630 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - UIBuilder - DaVinCi Basic Elements: 4.0.3
2019-12-08 11:29:38,631 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - UIBuilder - Sopas JS: <not available>
2019-12-08 11:29:38,631 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - UIBuilder - AppSpace Viewers: 3.0.0
2019-12-08 11:29:38,631 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - UIBuilder - DaVinCi Build Tools: 2.2.0
2019-12-08 11:29:38,632 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - UIBuilder - DaVinCi Build Tools MSDD plugin: 1.6.0
2019-12-08 11:29:38,632 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - CodeEditor - CodeEditorBridge: 3.4.0
2019-12-08 11:29:38,632 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - BlocksEditor - BlocksEditorService: 0.1.1
2019-12-08 11:29:38,633 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - BlocksEditor - BlocksEditor: 0.5.1
2019-12-08 11:29:38,979 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-13 | d.s.a.r.p.ServerManagerProvider [ServerManagerProvider.java:114] Jetty server started on port 4502
2019-12-08 11:29:40,873 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | d.s.a.s.c.AppDeviceService [AppDeviceService.java:125] AppDeviceService with device handler: 
2019-12-08 11:29:41,895 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-24 | d.s.a.n.n.p.NodeServiceProvider [NodeServiceProvider.java:255] Blocks-Editor Service : Server started on port: 4113
2019-12-08 11:29:46,596 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-29 | de.sick.appstudio.LifeCycleManager [LifeCycleManager.java:631] No or outdated proxy preferences stored, trying to auto-detetct proxy
2019-12-08 11:29:47,205 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-29 | de.sick.appstudio.utils.OnlineUtils [OnlineUtils.java:65] Failed to retrieved auto proxy settings
2019-12-08 11:29:47,206 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-29 | de.sick.appstudio.LifeCycleManager [LifeCycleManager.java:651] Could not identify system proxy
2019-12-08 11:29:47,207 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-29 | de.sick.appstudio.LifeCycleManager [LifeCycleManager.java:687] Checking for updates
2019-12-08 11:29:47,688 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-29 | d.s.appspace.core.utils.RemoteUpdate [RemoteUpdate.java:231] Downloading, local file: C:\Users\Michael\AppData\Local\Temp\AppSpace4317469128559253811\auto-update\appstudio-update.xml
2019-12-08 11:29:47,768 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-29 | d.s.appspace.core.utils.RemoteUpdate [RemoteUpdate.java:350] Remote update check -  update file available: true, update version:3.0.0, current version:3.0.0, version newer:false
2019-12-08 11:29:48,619 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | JavaFX Application Thread | d.s.a.d.ui.scan.DeviceScanView [DeviceScanView.java:191] CLOSING SEARCH DIALOG
2019-12-08 11:29:48,627 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | pool-15-thread-1 | d.s.a.d.p.DeviceScanServiceImpl [DeviceScanServiceImpl.java:278] Starting general device scan
2019-12-08 11:29:48,652 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | pool-15-thread-1 | d.s.a.d.p.DeviceScanServiceImpl [DeviceScanServiceImpl.java:192] Starting device scan, Adresses: [/192.168.0.1, /127.0.0.1], Ports:[2111, 2122]
2019-12-08 11:29:48,721 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | pool-17-thread-1 | d.s.s.zero.apiimpl.scan.ScanManager [ScanManager.java:229] Starting to scan with 1 scan settings.
2019-12-08 11:29:48,726 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | pool-17-thread-2 | d.s.s.zero.apiimpl.scan.ScanManager [ScanManager.java:229] Starting to scan with 1 scan settings.
2019-12-08 11:29:48,729 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | pool-17-thread-3 | d.s.s.zero.apiimpl.scan.ScanManager [ScanManager.java:229] Starting to scan with 3 scan settings.
2019-12-08 11:29:48,959 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-3 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:48,961 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-2 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:48,961 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-1 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
